1174 items with prompt+gold
50/1174 acc-so-far=0.160 cost=$0.030
100/1174 acc-so-far=0.140 cost=$0.060
150/1174 acc-so-far=0.140 cost=$0.098
200/1174 acc-so-far=0.130 cost=$0.127
250/1174 acc-so-far=0.124 cost=$0.158
300/1174 acc-so-far=0.120 cost=$0.192
350/1174 acc-so-far=0.129 cost=$0.219
400/1174 acc-so-far=0.133 cost=$0.248
450/1174 acc-so-far=0.133 cost=$0.277
500/1174 acc-so-far=0.132 cost=$0.309
550/1174 acc-so-far=0.135 cost=$0.340
600/1174 acc-so-far=0.135 cost=$0.369
650/1174 acc-so-far=0.142 cost=$0.399
700/1174 acc-so-far=0.141 cost=$0.431
750/1174 acc-so-far=0.147 cost=$0.465
800/1174 acc-so-far=0.149 cost=$0.496
850/1174 acc-so-far=0.144 cost=$0.528
900/1174 acc-so-far=0.147 cost=$0.560
950/1174 acc-so-far=0.143 cost=$0.588
1000/1174 acc-so-far=0.145 cost=$0.619
1050/1174 acc-so-far=0.143 cost=$0.650
1100/1174 acc-so-far=0.145 cost=$0.682
1150/1174 acc-so-far=0.146 cost=$0.717
1174/1174 acc-so-far=0.147 cost=$0.731
finished 1174 items, run cost $0.7310 -> /mnt/data/tmp/aiim_answers/papers/emnlp/finopsbench/experiments/e1_closed_book/results/openai_gpt-5-mini.jsonl
